GT,NOISE
CroppedImages\Canon5D2_5_160_3200_chair_11_mean.JPG,CroppedImages\Canon5D2_5_160_3200_chair_11_real.JPG
CroppedImages\Canon5D2_5_160_3200_chair_14_mean.JPG,CroppedImages\Canon5D2_5_160_3200_chair_14_real.JPG
CroppedImages\Canon5D2_5_160_3200_chair_5_mean.JPG,CroppedImages\Canon5D2_5_160_3200_chair_5_real.JPG
CroppedImages\Canon5D2_5_160_3200_plug_11_mean.JPG,CroppedImages\Canon5D2_5_160_3200_plug_11_real.JPG
CroppedImages\Canon5D2_5_160_3200_plug_12_mean.JPG,CroppedImages\Canon5D2_5_160_3200_plug_12_real.JPG
CroppedImages\Canon5D2_5_160_6400_bicycle_10_mean.JPG,CroppedImages\Canon5D2_5_160_6400_bicycle_10_real.JPG
CroppedImages\Canon5D2_5_160_6400_bicycle_6_mean.JPG,CroppedImages\Canon5D2_5_160_6400_bicycle_6_real.JPG
CroppedImages\Canon5D2_5_160_6400_bicycle_8_mean.JPG,CroppedImages\Canon5D2_5_160_6400_bicycle_8_real.JPG
CroppedImages\Canon5D2_5_160_6400_circuit_11_mean.JPG,CroppedImages\Canon5D2_5_160_6400_circuit_11_real.JPG
CroppedImages\Canon5D2_5_160_6400_circuit_3_mean.JPG,CroppedImages\Canon5D2_5_160_6400_circuit_3_real.JPG
CroppedImages\Canon5D2_5_160_6400_circuit_8_mean.JPG,CroppedImages\Canon5D2_5_160_6400_circuit_8_real.JPG
CroppedImages\Canon5D2_5_160_6400_desk_10_mean.JPG,CroppedImages\Canon5D2_5_160_6400_desk_10_real.JPG
CroppedImages\Canon5D2_5_160_6400_desk_4_mean.JPG,CroppedImages\Canon5D2_5_160_6400_desk_4_real.JPG
CroppedImages\Canon5D2_5_160_6400_desk_5_mean.JPG,CroppedImages\Canon5D2_5_160_6400_desk_5_real.JPG
CroppedImages\Canon5D2_5_160_6400_desk_7_mean.JPG,CroppedImages\Canon5D2_5_160_6400_desk_7_real.JPG
CroppedImages\Canon5D2_5_160_6400_reciever_13_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_13_real.JPG
CroppedImages\Canon5D2_5_160_6400_reciever_1_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_1_real.JPG
CroppedImages\Canon5D2_5_160_6400_reciever_2_mean.JPG,CroppedImages\Canon5D2_5_160_6400_reciever_2_real.JPG
